"id","shock.stage","temp.avg","temp.var","hs.temp","hs.num","date.died","date.hatch","date.ovp","time.ovp","num.ovp","date.3","mass.3","mass.in.hs","inst.in.hs","date.in.hs","time.in.hs","date.out.hs","time.out.hs","date.4","mass.4","date.5","mass.5","date.p5.1","mass.p5.1","instar.p5.1","date.p5.2","mass.p5.2","inst.p5.2","date.p5.3","mass.p5.3","inst.p5.3","date.p5.4","mass.p5.4","inst.p5.4","date.cull","mass.cull","date.wand","mass.wand","date.em","instar.em","bled.em","mass.48em","num.em","num.coc","num.fail.spin","date.ecl","num.ecl","fem.ecl","male.ecl","fem.mass","male.mass","num.unem.mat","num.unem.im","mat.load","tot.load","mass.unem","mass.fail.spin","pup","moth.ecl","pv.dna","gen.notes","diss.notes","date.died.j","date.hatch.j","date.ovp.j","date.3.j","date.in.hs.j","date.out.hs.j","date.4.j","date.5.j","date.p5.1.j","date.p5.2.j","date.p5.3.j","date.p5.4.j","date.cull.j","date.wand.j","date.em.j","date.ecl.j","died.bf5","time.ovp.dec","time.in.hs.dec","time.out.hs.dec","tt3","tt4","tt5","ttp5.1","ttp5.2","ttp5.3","ttp5.4","ttwand","ttcull","ttem.h","ttem.w","ttecl","ps.em","ps.ecl","ind.male.mass","ind.fem.mass","tot.unem","p.unem.mat","p.unem.im","hs.cal"
1,"early",25,10,42,3,NA,"10/16/18","10/21/18",11:25:00,2,"10/21/18",72.82,"72.82",3,"10/21/18",12:37:00,"10/23/18",16:23:00,"10/26/18",278.18,"10/31/18",1453.49,"11/7/18",11887.71,"5","11/14/18",15029.05,"5",NA,NA,NA,NA,NA,NA,"11/20/18","12083.86",NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,0,290,295,295,295,297,300,305,312,319,NA,NA,325,NA,NA,NA,"0",11.4166666666667,12.6166666666667,16.3833333333333,5,10,15,22,29,NA,NA,NA,35,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
2,"mid",25,10,42,3,"10/28/18","10/16/18","10/21/18",11:19:00,1,"10/21/18",53.78,"265.66",NA,"10/25/18",10:25:00,NA,NA,"10/27/18",193.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp. removed cuticle from 4-5th prolegs at molt to 4th",NA,302,290,295,295,299,NA,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",11.3166666666667,10.4166666666667,NA,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
3,"late",25,10,42,3,NA,"10/16/18","10/21/18",11:15:00,2,"10/21/18",42.37,"1673.19",5,"11/2/18",09:15:00,"11/4/18",17:45:00,"10/26/18",168.93,"11/1/18",995.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/7/18",5,0,"2921.66",11,5,6,"11/14/18",3,0,3,0,0.88,86,34,"97",131,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,0,290,295,295,307,309,300,306,NA,NA,NA,NA,NA,NA,312,319,"0",11.25,9.25,17.75,5,10,16,NA,NA,NA,NA,NA,NA,22,17,24,0.083969465648855,0.0229007633587786,0.293333333333333,NA,120,0.716666666666667,0.283333333333333,"high"
4,"control",25,10,0,0,NA,"10/16/18","10/21/18",11:29:00,1,"10/21/18",68.99,"FALSE",NA,NA,NA,NA,NA,"10/25/18",341.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/2/18",4,0,"1780.79",42,40,2,"11/8/18",37,4,33,1.34,7.65,7,0,"49",49,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,0,290,295,295,0,NA,299,NA,NA,NA,NA,NA,NA,NA,307,313,"0",11.4833333333333,NA,NA,5,9,NA,NA,NA,NA,NA,NA,NA,17,12,18,0.857142857142857,0.755102040816326,0.231818181818182,0.335,7,1,0,"none"
5,"early",25,10,42,3,NA,"10/16/18","10/21/18",11:22:00,1,"10/21/18",51.93,"51.93",3,"10/21/18",12:37:00,"10/23/18",16:23:00,"10/26/18",277.47,"10/31/18",1348.35,"11/7/18",10236.42,"5","11/14/18",13659.73,"5","11/21/18",13932.73,"5",NA,NA,NA,"11/27/18","12878.23",NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,0,290,295,295,295,297,300,305,312,319,326,NA,332,NA,NA,NA,"0",11.3666666666667,12.6166666666667,16.3833333333333,5,10,15,22,29,36,NA,NA,42,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
6,"mid",25,10,42,3,NA,"10/16/18","10/21/18",11:17:00,1,"10/21/18",63.73,"344.41",NA,"10/25/18",10:25:00,"10/27/18",16:45:00,"10/26/18",359.81,"11/2/18",1241.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/7/18",5,0,"2056.66",116,113,3,"11/13/18",111,25,86,9.3,23.65,14,8,"130",138,NA,NA,NA,NA,NA,"wasp colony density low at ovp","8 immature 2nds of various sizes. at least 1 1st. several distinct melanized plaques",0,290,295,295,299,301,300,307,NA,NA,NA,NA,NA,NA,312,318,"0",11.2833333333333,10.4166666666667,16.75,5,10,17,NA,NA,NA,NA,NA,NA,22,17,23,0.840579710144927,0.804347826086957,0.275,0.372,22,0.636363636363636,0.363636363636364,"high"
7,"late",25,10,42,3,NA,"10/16/18","10/21/18",11:14:00,2,"10/21/18",73.89,"2193.93",5,"10/29/18",09:00:00,"10/31/18",16:21:00,"10/25/18",500.63,"10/28/18",1926.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/5/18",5,0,"6222.72",134,75,59,"11/11/18",24,8,16,2.4,2.97,111,7,"245",252,NA,NA,NA,NA,NA,"wasp colony density low at ovp. was supposed to be weighed as P5.1 on 11/4/18. found with wasp emergence on 11/5/18, didn't weigh for fear of loosing wasp larvae.","7 immature 2nds, mostly larger, no 1sts seen",0,290,295,295,303,305,299,302,NA,NA,NA,NA,NA,NA,310,316,"0",11.2333333333333,9,16.35,5,9,12,NA,NA,NA,NA,NA,NA,20,15,21,0.531746031746032,0.0952380952380952,0.185625,0.3,118,0.940677966101695,0.0593220338983051,"high"
8,"control",25,10,0,0,NA,"10/16/18","10/21/18",11:27:00,1,"10/21/18",59.05,NA,NA,NA,NA,NA,NA,"10/26/18",191.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/3/18",4,1,"624.48",6,4,2,"11/10/18",4,0,4,0,0.98,2,0,"8",8,NA,NA,NA,NA,NA,"wasp colony density low at ovp","lots of diffuse mel",0,290,295,295,0,NA,300,NA,NA,NA,NA,NA,NA,NA,308,315,"0",11.45,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,18,13,20,0.75,0.5,0.245,NA,2,1,0,"none"
9,"early",25,10,42,3,NA,"10/16/18","10/21/18",11:21:00,1,"10/21/18",56.79,"56.79",3,"10/21/18",12:37:00,"10/23/18",16:23:00,"10/25/18",240.27,"10/31/18",1584.37,"11/7/18",1254.47,"5","11/14/18",15879.73,"5",NA,NA,NA,NA,NA,NA,"11/19/18","10533.16",NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,0,290,295,295,295,297,299,305,312,319,NA,NA,324,NA,NA,NA,"0",11.35,12.6166666666667,16.3833333333333,5,9,15,22,29,NA,NA,NA,34,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
10,"mid",25,10,42,3,NA,"10/16/18","10/21/18",11:16:00,1,"10/21/18",59.04,"384.17",NA,"10/25/18",10:25:00,"10/27/18",16:45:00,"10/25/18",384.17,"10/31/18",1464.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/5/18",5,0,"3928.75",135,127,8,"11/11/18",110,11,99,3.06,22.53,18,1,"153",154,NA,NA,NA,NA,NA,"wasp colony density low at ovp","1 immature 2nd, no 1sts seen",0,290,295,295,299,301,299,305,NA,NA,NA,NA,NA,NA,310,316,"0",11.2666666666667,10.4166666666667,16.75,5,9,15,NA,NA,NA,NA,NA,NA,20,15,21,0.876623376623377,0.714285714285714,0.227575757575758,0.278181818181818,19,0.947368421052632,0.0526315789473684,"high"
11,"late",25,10,42,3,NA,"10/16/18","10/21/18",11:12:00,1,"10/21/18",52.12,"2141.16",5,"10/31/18",09:05:00,"11/2/18",16:20:00,"10/25/18",274.12,"10/30/18",1539.96,"11/6/18",3863.16,"5","11/13/18",3856.16,"5","11/20/18",3498.16,"cull",NA,NA,NA,"11/20/18","3498.16",NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,0,290,295,295,305,307,299,304,311,318,325,NA,325,NA,NA,NA,"0",11.2,9.08333333333333,16.3333333333333,5,9,14,21,28,35,NA,NA,35,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
