id,shock.stage,temp.avg,temp.var,hs.temp,hs.num,date.died,date.hatch,date.ovp,time.ovp,num.ovp,date.3,mass.3,mass.in.hs,inst.in.hs,date.in.hs,time.in.hs,date.out.hs,time.out.hs,date.4,mass.4,date.5,mass.5,date.p5.1,mass.p5.1,instar.p5.1,date.p5.2,mass.p5.2,inst.p5.2,date.p5.3,mass.p5.3,inst.p5.3,date.p5.4,mass.p5.4,inst.p5.4,date.cull,mass.cull,date.wand,mass.wand,date.em,instar.em,bled.em,mass.48em,num.em,num.coc,num.fail.spin,date.ecl,num.ecl,fem.ecl,male.ecl,fem.mass,male.mass,num.unem.mat,num.unem.im,mat.load,tot.load,mass.unem,mass.fail.spin,pup,moth.ecl,pv.dna,gen.notes,diss.notes
1,early,25,10,42,3,,10/16/18,10/21/18,11:25,2,10/21/18,72.82,72.82,3,10/21/18,12:37,10/23/18,16:23,10/26/18,278.18,10/31/18,1453.49,11/7/18,11887.71,5,11/14/18,15029.05,5,,,,,,,11/20/18,12083.86,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wasp colony density low at ovp,
2,mid,25,10,42,3,10/28/18,10/16/18,10/21/18,11:19,1,10/21/18,53.78,265.66,,10/25/18,10:25,,,10/27/18,193.59,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wasp colony density low at ovp. removed cuticle from 4-5th prolegs at molt to 4th,
3,late,25,10,42,3,,10/16/18,10/21/18,11:15,2,10/21/18,42.37,1673.19,5,11/2/18,9:15,11/4/18,17:45,10/26/18,168.93,11/1/18,995.19,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/7/18,5,0,2921.66,11,5,6,11/14/18,3,0,3,0,0.88,86,34,97,131,,,,,,wasp colony density low at ovp,
4,control,25,10,0,0,,10/16/18,10/21/18,11:29,1,10/21/18,68.99,FALSE,,,,,,10/25/18,341.74,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/2/18,4,0,1780.79,42,40,2,11/8/18,37,4,33,1.34,7.65,7,0,49,49,,,,,,wasp colony density low at ovp,
5,early,25,10,42,3,,10/16/18,10/21/18,11:22,1,10/21/18,51.93,51.93,3,10/21/18,12:37,10/23/18,16:23,10/26/18,277.47,10/31/18,1348.35,11/7/18,10236.42,5,11/14/18,13659.73,5,11/21/18,13932.73,5,,,,11/27/18,12878.23,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wasp colony density low at ovp,
6,mid,25,10,42,3,,10/16/18,10/21/18,11:17,1,10/21/18,63.73,344.41,,10/25/18,10:25,10/27/18,16:45,10/26/18,359.81,11/2/18,1241.02,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/7/18,5,0,2056.66,116,113,3,11/13/18,111,25,86,9.3,23.65,14,8,130,138,,,,,,wasp colony density low at ovp,8 immature 2nds of various sizes. at least 1 1st. several distinct melanized plaques
7,late,25,10,42,3,,10/16/18,10/21/18,11:14,2,10/21/18,73.89,2193.93,5,10/29/18,9:00,10/31/18,16:21,10/25/18,500.63,10/28/18,1926.13,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/5/18,5,0,6222.72,134,75,59,11/11/18,24,8,16,2.4,2.97,111,7,245,252,,,,,,"wasp colony density low at ovp. was supposed to be weighed as P5.1 on 11/4/18. found with wasp emergence on 11/5/18, didn't weigh for fear of loosing wasp larvae.","7 immature 2nds, mostly larger, no 1sts seen"
8,control,25,10,0,0,,10/16/18,10/21/18,11:27,1,10/21/18,59.05,,,,,,,10/26/18,191.27,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/3/18,4,1,624.48,6,4,2,11/10/18,4,0,4,0,0.98,2,0,8,8,,,,,,wasp colony density low at ovp,lots of diffuse mel
9,early,25,10,42,3,,10/16/18,10/21/18,11:21,1,10/21/18,56.79,56.79,3,10/21/18,12:37,10/23/18,16:23,10/25/18,240.27,10/31/18,1584.37,11/7/18,1254.47,5,11/14/18,15879.73,5,,,,,,,11/19/18,10533.16,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wasp colony density low at ovp,
10,mid,25,10,42,3,,10/16/18,10/21/18,11:16,1,10/21/18,59.04,384.17,,10/25/18,10:25,10/27/18,16:45,10/25/18,384.17,10/31/18,1464.09,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/5/18,5,0,3928.75,135,127,8,11/11/18,110,11,99,3.06,22.53,18,1,153,154,,,,,,wasp colony density low at ovp,"1 immature 2nd, no 1sts seen"
11,late,25,10,42,3,,10/16/18,10/21/18,11:12,1,10/21/18,52.12,2141.16,5,10/31/18,9:05,11/2/18,16:20,10/25/18,274.12,10/30/18,1539.96,11/6/18,3863.16,5,11/13/18,3856.16,5,11/20/18,3498.16,cull,,,,11/20/18,3498.16,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wasp colony density low at ovp,
12,control,25,10,0,0,,10/16/18,10/21/18,11:26,1,10/21/18,59.6,FALSE,,,,,,10/25/18,303.29,10/30/18,1495.44,11/6/18,3146.79,em,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/4/18,5,0,3146.79,125,84,41,11/10/18,65,39,26,12.97,6.09,12,2,137,139,,,,,,wasp colony density low at ovp,"2 immature 2nds, no 1sts seen"
13,late,25,10,42,3,,10/16/18,10/21/18,11:09,2,10/21/18,50.26,1605.14,5,10/31/18,9:05,11/2/18,16:20,10/25/18,208.06,10/30/18,1132.25,11/6/18,3654.76,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/6/18,5,0,3425.61,4,1,3,,0,0,0,0,0,146,38,150,188,,,,,,wasp colony density low at ovp,"38 immature 2nds, 2 1sts. "
14,early,25,10,42,3,10/24/18,10/18/18,10/22/18,12:23,1,10/22/18,44.82,44.82,3,10/22/18,12:30,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wasp colony density low at ovp,
